time,type,size,volatility,open,high,low,close
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2022-05-09 00:00,Red,0.0024900436,270.14188,1.23454,1.23458,1.23209,1.234
2022-05-09 01:00,Red,0.0013999939,270.40378,1.2343,1.2343,1.2329,1.23371
2022-05-09 02:00,Red,0.0014199018,270.79065,1.23369,1.23381,1.23239,1.23255
2022-05-09 03:00,Red,0.0025299788,271.5049,1.23252,1.23268,1.23015,1.23033
2022-05-09 04:00,Green,0.0016499758,271.3382,1.23028,1.23119,1.22954,1.23089
2022-05-09 05:00,Red,0.0023599863,271.8144,1.23088,1.23093,1.22857,1.22902
2022-05-09 06:00,Green,0.0016099215,270.6953,1.229,1.22996,1.22835,1.22902
2022-05-09 07:00,Red,0.0013999939,270.49893,1.22902,1.22944,1.22804,1.22827
2022-05-09 08:00,Red,0.0015799999,268.8204,1.22826,1.2284,1.22682,1.228
2022-05-09 09:00,Red,0.0027599335,268.92154,1.228,1.22881,1.22605,1.22642
2022-05-09 10:00,Green,0.0037299395,268.6893,1.22642,1.22986,1.22613,1.22874
2022-05-09 11:00,Red,0.0037699938,269.45715,1.22873,1.2307,1.22693,1.22698
2022-05-09 12:00,Green,0.00496006,270.2965,1.22698,1.23178,1.22682,1.23159
2022-05-09 13:00,Green,0.0037199259,269.3024,1.23159,1.23478,1.23106,1.23413
2022-05-09 14:00,Green,0.004349947,268.8024,1.23412,1.23709,1.23274,1.23654
2022-05-09 15:00,Green,0.004310012,268.12976,1.23655,1.24054,1.23623,1.23893
2022-05-09 16:00,Red,0.008100033,270.981,1.23893,1.23901,1.23091,1.23098
2022-05-09 17:00,Red,0.0024499893,270.54645,1.23103,1.23247,1.23002,1.23053
2022-05-09 18:00,Green,0.003700018,271.11792,1.23052,1.23411,1.23041,1.23334
2022-05-09 19:00,Green,0.005480051,272.47504,1.23333,1.238,1.23252,1.23474
2022-05-09 20:00,Red,0.0023399591,272.32028,1.23474,1.23548,1.23314,1.23341
2022-05-09 21:00,Green,0.002409935,272.61194,1.2334,1.23495,1.23254,1.23424
2022-05-09 22:00,Red,0.0024100542,273.33817,1.23424,1.23537,1.23296,1.23309
2022-05-09 23:00,Red,0.0009199381,272.43338,1.2331,1.23357,1.23265,1.233
2022-05-10 00:00,Red,0.0010700226,271.99295,1.23299,1.23307,1.232,1.23267
2022-05-10 01:00,Green,0.0006300211,271.95132,1.23263,1.23301,1.23238,1.23291
2022-05-10 02:00,Green,0.0013000965,272.28473,1.23289,1.23414,1.23284,1.23352
2022-05-10 03:00,Red,0.0018900633,272.10025,1.23353,1.23359,1.2317,1.23301
2022-05-10 04:00,Green,0.0029500723,273.05862,1.23301,1.23527,1.23232,1.23468
2022-05-10 05:00,Green,0.0024900436,273.2432,1.23469,1.23718,1.23469,1.23646
2022-05-10 06:00,Green,0.0017100573,273.3028,1.23645,1.23666,1.23495,1.2366
